id_bien;surface_carrez;type_local;surface_reelle;nombre_pieces;surface_terrain;voie;commune_id
15876;17.23;Appartement;18;1;;DE LA CAPIEU;2125
15877;31.75;Appartement;31;1;;DU BOUCHET;2135
15878;87.79;Appartement;76;4;;DE COQUELOUP;2139
15879;86.33;Appartement;85;4;;DES MESANGES;2143
15880;85.95;Appartement;86;4;;PASTEUR;2131
15881;28.46;Appartement;32;1;;DES VIGNES;2144
15882;74.59;Appartement;76;3;;BERTHOLLET;2124
15883;42.63;Appartement;45;3;;DU COL DES ARAVIS;2145
15884;50.82;Appartement;50;2;;DU CHATEAU;2140
15885;82.45;Appartement;86;4;;DE LA GARE;2131
15886;41.05;Appartement;41;2;;DES CONTAMINES;2144
15887;56.77;Appartement;56;2;;DU THIOU;2124
15888;76.37;Appartement;85;3;;DE COTFA;2126
15889;73.26;Appartement;75;3;;DE L HERMITAGE;2146
15890;69.76;Appartement;69;3;;JOSEPH BEARD;2135
15891;39.25;Appartement;57;3;;DU COL DE MERDASSIER;2125
15892;80.91;Appartement;84;3;;LA MARJOLAINE;2132
15893;7.95;Appartement;64;3;;DU VAL VERT;2122
15894;76.44;Appartement;115;5;;D ALERY;2124
15895;55.12;Appartement;45;2;;DU VIEUX MURIER;2137
15896;58.67;Appartement;67;3;;DES FINS SUD;2124
15897;67.58;Appartement;67;3;;LA CREUSE NORD;2130
15898;87.77;Appartement;90;4;;DE NARVIK;2124
15899;39.52;Appartement;39;2;;DU PARC;2126
15900;47.42;Appartement;47;2;;DE CUVAT;2147
15901;36.25;Appartement;36;1;;DE LA PLAINE;2124
15902;92.28;Maison;97;4;;DU CLOS FLEURY;2138
15903;24.9;Appartement;24;1;;DES ROMAINS;2124
15904;35.82;Appartement;45;2;;SAINTE CLAIRE;2124
15905;44.43;Appartement;44;2;;DE LA CAILLE;2148
15906;21.9;Appartement;22;1;;D AIX LES BAINS;2122
15907;39.1;Appartement;39;2;;VICTOR HUGO;2123
15908;22.8;Appartement;34;1;;DES NEIGES;2127
15909;25.43;Appartement;27;1;;DU COL DE MERDASSIER;2125
15910;122.5;Appartement;135;3;;DE LA CHAPELLE (MORNEX);2137
15911;62.14;Appartement;63;3;;DES FONTAINES;2149
15912;61.14;Appartement;57;2;;DES VOIRONS;2131
15913;49.15;Appartement;48;2;;DE CERTOUX;2144
